massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	148.07345756155544	11.915376878181446	2.36533127803315e-07	-7.29106245813871	633
row2	147.07640748274954	11.905213776127336	2.36533127803315e-07	-7.130432166859549	613
row3	905.5937710121028	2.9989393770564763	2.36533127803315e-07	-7.08717908029847	3109
row4	837.618204752604	3.1507679296929143	2.70414980254621e-07	-6.984255092583999	3028
row5	810.6000113236278	3.1712747307827622	2.76791180335004e-07	-6.924004921448799	2989
row6	782.5687384354442	3.204236220992103	3.0085549137798603e-07	-6.84623520329507	2936
row7	126.0219806871916	12.209535511372454	3.0085549137798603e-07	-6.82121637835256	324
row8	784.5840506302683	3.1956754108132674	4.5992847415129796e-07	-6.68428055874681	2938
row9	133.06077505412858	10.333907314956184	4.7551680724052403e-07	6.637318695875	425
row10	812.6144790649414	3.1738542476404548	4.7551680724052403e-07	-6.607406590148259	2992
row11	785.5879516601562	3.2024338052303265	4.7551680724052403e-07	-6.59328603510411	2939
row12	169.05836848208781	11.897038272605002	4.7551680724052403e-07	-6.54603865763937	926
row13	171.0764231430857	11.892799220401725	4.7551680724052403e-07	-6.54119607897622	951
row14	835.6033615604524	3.1581256673739664	4.7551680724052403e-07	-6.538287751986299	3026
row15	101.07095439850336	11.929978879334824	6.53074216211131e-07	-6.4428804590589	101
row16	191.040284656343	11.911427014102307	7.89897469259601e-07	-6.376656816113111	1236
row17	131.05327114306002	11.88734120795674	7.89897469259601e-07	-6.36479241310637	397
row18	112.05056200027464	9.76502164353295	7.99477046240436e-07	6.335712682568799	168
row19	148.04266542004	6.714252903696112	7.99477046240436e-07	-6.33421735815835	626
row20	130.04992655703896	11.890277826892214	1.05024419938963e-06	-6.253689982318339	365
row21	170.06167554098462	11.90249255506668	1.92835842935321e-06	-6.08990625325011	940
row22	836.6139644499748	3.1561264739296693	2.9505073492907003e-06	-5.97155136216604	3027
row23	166.05330748307077	10.840145684201556	4.41604350281446e-06	5.85870006917066	893
row24	149.08066248893738	11.907904572957134	4.54967390080049e-06	-5.840405213347241	659
row25	520.3400409096166	3.764698097898109	4.8883574651252896e-06	-5.81190434991798	2720
row26	792.5890053196957	3.17424326168862	6.0055864528364e-06	-5.74281833143846	2958
row27	834.6000561714172	3.156962816942129	6.0055864528364e-06	-5.740169253887499	3025
row28	495.3275594559927	3.861196866296261	6.63827017559769e-06	-5.70544672700757	2695
row29	176.03766284072609	6.714380459353793	9.08455353881614e-06	-5.61645524727278	1031
row30	258.1100018149928	11.350615870550547	1.06997623618205e-05	-5.56410511123179	1993
row31	380.2558107376098	6.713701956844809	1.06997623618205e-05	-5.55745988790797	2549
row32	176.07406287357722	4.276906994865536	1.14131811925047e-05	-5.532739212324259	1034
row33	787.6035939266808	3.1828694994031235	1.34489968283814e-05	-5.48259770273876	2944
row34	786.6000470613177	3.1871777436438435	1.63031950773526e-05	-5.425228024985599	2942
row35	743.5770635431462	3.2019822291768096	1.8096029988737e-05	-5.39072886799521	2876
row36	213.0222165089733	11.904522592934331	1.90609500963983e-05	-5.36996102985443	1517
row37	380.25582956167364	4.248077275139069	2.1192977896602104e-05	-5.3353158202078	2548
row38	206.1273452258501	9.281201471607208	2.55917309234202e-05	-5.279258633396901	1449
row39	767.5771116059402	3.1909653266929685	2.5967268139142604e-05	-5.2686780749048605	2913
row40	796.6194324493408	3.1777290687711117	2.8346473639426195e-05	-5.2391534657945495	2963
row41	171.07645948309647	9.235934544397882	3.5018622602417e-05	-5.17727364310183	952
row42	807.5720968535452	3.1823487249259754	3.6798146556911296e-05	-5.157910015137309	2982
row43	809.5875447591147	3.1851688642355116	3.9496079216554705e-05	-5.13308779665421	2987
row44	766.5738016764321	3.1928454645942037	4.5480560425578494e-05	-5.08978692741433	2912
row45	759.5722881116367	3.215870431703981	4.8475851444684295e-05	-5.066968686955191	2898
row46	770.6031951904297	3.1982725889677845	4.9763544446885604e-05	-5.054201794016071	2921
row47	512.334872713956	4.200786223475737	5.5257637520246104e-05	-5.02070596300583	4343
row48	523.3591457166169	3.73649391466906	5.87393970920915e-05	-4.9985928531333	2725
row49	522.3558831465872	3.736986901958506	5.87393970920915e-05	-4.993370556427781	2724
row50	469.3119622055365	3.974227894946392	6.4592566742871e-05	-4.96266454168712	2666
row51	758.5688291850843	3.2135804173217304	6.6401718832451e-05	-4.9500008960899295	2897
row52	241.03100315217048	12.597870757674437	0.000128588292728543	-4.7668919123144	1839
row53	191.08493292331696	9.80184624307863	0.00013606969283101798	-4.74589699055767	1238
row54	757.5567353347252	3.222214152778468	0.00013606969283101798	-4.73990622227597	2895
row55	136.0427669178356	10.099289180795346	0.00013606969283101798	-4.73328130969255	459
row56	194.1468843732561	4.1319048248802615	0.00013606969283101798	-4.73139567227469	1299
row57	287.2215092307643	3.3367347899412936	0.00014126727281628702	-4.7141515440085096	2230
row58	794.6050793092642	3.173322675393975	0.00014126727281628702	-4.71163009486865	2960
row59	832.5839935878537	3.1621105008565693	0.00015576660907671203	-4.68029397332937	3022
row60	172.0968251479299	6.7103843760710635	0.000173383899093696	4.64387221240257	970
row61	130.04995717500387	9.235738236152981	0.000173383899093696	-4.64182382230172	366
row62	468.30843577665433	3.9705792974931056	0.00021192593325321298	-4.582130833247191	2664
row63	568.3397577459162	3.6748810702065318	0.000231571778535832	-4.55321876380092	2763
row64	161.0923203901811	6.7305915190221075	0.000327055432858532	-4.45104140147994	835
row65	132.05415382385254	11.897504272757521	0.000327055432858532	-4.448518205428309	410
row66	482.3242121244732	3.85737394875471	0.000416134599517341	-4.37663806748327	2678
row67	400.34202806877363	3.7688438162451448	0.00044618949259690597	-4.35272798015441	2600
row68	496.33967911569704	3.8194716747786335	0.0004661011700295	-4.33619940370111	2696
row69	168.1019774350253	6.7144123909849425	0.000481732044298059	-4.32272704444456	3577
row70	498.34583282470703	3.813956823367649	0.000502872711474008	-4.30437133030916	2701
row71	814.6262374014224	3.1529000260658964	0.000502872711474008	-4.30243953316619	2997
row72	497.3431362352873	3.822709234947065	0.000504686945799091	-4.29323268369889	2698
row73	510.3556785583496	3.7555667299139857	0.000504686945799091	-4.292156696639741	2711
row74	769.5926121303012	3.1880956485680785	0.000504686945799091	-4.2896556365827205	2918
row75	213.12338502945443	6.713599596972838	0.000734802030371738	-4.1783084587288	1526
row76	904.5903413192084	2.9967184966263014	0.0007681549423716519	-4.1616915289470695	3108
row77	756.5531342450312	3.2379690459708006	0.000779364128494012	-4.153734399624581	2894
row78	799.6681079864502	3.29227476759155	0.000784853659301993	-4.14797750936733	2969
row79	279.15896526135896	3.3596950838369133	0.000924210709573541	-4.09689227285183	2151
row80	158.15401699668482	3.614794642976292	0.0009331187467670099	4.08690817500502	785
row81	542.3226473533501	3.78322037280904	0.0009331187467670099	-4.086824141994859	2743
row82	209.09213899311263	9.323316198803509	0.0009553937728149891	4.07637391147651	1463
row83	150.05838434319747	9.801560467510669	0.000980043526528498	-4.0654039718083705	667
row84	788.6120846396997	3.1883200045755458	0.0010055749133208302	-4.05439004095626	2949
row85	745.5926278921273	3.1969129754988503	0.0010641619604790599	-4.03434671839207	2881
row86	797.6236220537606	3.1602520058825827	0.00107311786489198	-4.0284593738195404	2966
row87	148.07970658393756	11.903578089878053	0.00110447355700778	-4.01661042089861	634
row88	102.05497522065134	9.799513957381537	0.00116303089013512	-3.9980532066296695	109
row89	806.5687849017937	3.1798349846770173	0.00119037984810586	-3.9878740221575404	2980
row90	217.10714016538682	3.7185520069170006	0.0012569444077158301	-3.9685102561105903	1580
row91	545.3430971891984	3.7169377354093087	0.0013056771892329699	-3.9539850491762	2745
row92	689.5586529632112	3.445898404061168	0.0013630418798614	-3.93799620974028	2837
row93	147.07638807857737	6.878839972532079	0.00140982085940211	-3.92476039813466	614
row94	181.0720427293044	6.703730118801477	0.00201548301741714	-3.8144957921021003	1100
row95	152.05416253033806	9.800490879735172	0.0020573558555547103	-3.8024170988795603	690
row96	104.05283815720502	9.801547535280642	0.0020573558555547103	-3.7997164342549596	121
row97	795.6087868430398	3.1704207339950474	0.0020573558555547103	-3.79878877793885	2961
row98	84.0442725231773	11.882381163503108	0.0020863615968792	-3.7866608839346405	38
row99	813.620170710637	3.167355073023148	0.0020863615968792	-3.78625111997177	2995
row100	288.21679216272685	6.710575387813409	0.0020863615968792	-3.7853263232515095	2235
row101	742.5739977155413	3.210162847197511	0.00219347469240114	-3.76658644016707	2875
row102	676.546512075571	3.4645076315949384	0.00219347469240114	-3.76411775687224	2832
row103	772.5841475777004	3.2090239941698546	0.00219661741643397	-3.7607156425549197	2923
row104	814.6869326139753	3.2671478973107004	0.00229219117816704	-3.7448044319988196	2998
row105	120.0808048248291	8.854499598965873	0.00242465814194477	3.72472987332314	264
