massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row89	542.3226473533501	3.78322037280904	0.0013378094658734801	-3.9211061489704	2743
row90	181.0720427293044	6.703730118801477	0.00157182389684147	-3.8705828924887	1100
row91	120.0808048248291	8.854499598965873	0.00176041207299069	3.832016833361069	264
row92	287.2215092307643	3.3367347899412936	0.00176041207299069	-3.83067050624521	2230
row93	152.05416253033806	9.800490879735172	0.00177914059952652	-3.823375330790221	690
row94	217.10714016538682	3.7185520069170006	0.00177914059952652	-3.8192940938765	1580
row95	104.05283815720502	9.801547535280642	0.00177914059952652	-3.8180335762126703	121
row96	742.5739977155413	3.210162847197511	0.0020153401558956198	-3.77758769599592	2875
row97	288.21679216272685	6.710575387813409	0.0020153401558956198	-3.77476745674693	2235
row98	772.5841475777004	3.2090239941698546	0.0020247855311284198	-3.77031102115766	2923
row99	207.1128806064004	8.850467543611357	0.00207581745741098	3.75843175350022	1450
row100	615.5388493691721	2.9921706546524263	0.00207581745741098	-3.75683482429537	2800
row101	279.15896526135896	3.3596950838369133	0.0021697475835588697	-3.7405989195841096	2151
row102	84.0442725231773	11.882381163503108	0.00231548472906751	-3.71811010669598	38
row103	167.08961125424034	8.857153671083873	0.00259396847930919	3.68089038647594	906
row104	494.32407618931364	3.8649246277064218	0.0026322597683776	-3.67352632987426	2693
row105	795.6087868430398	3.1704207339950474	0.00279037799597891	-3.65291612071929	2961
row106	676.546512075571	3.4645076315949384	0.00299383225449975	-3.6285915309548	2832
row107	119.01619202750072	10.097554040691968	0.00315589836081837	-3.60960704267742	253
row108	133.03179997983187	9.801642939217606	0.00322467179975331	-3.6001523834486697	423
row109	813.620170710637	3.167355073023148	0.00332415133222863	-3.58799888404688	2995
row110	304.21173236553483	6.7225817387372375	0.00342152812758855	-3.57631202201252	2320
row111	205.1264040205214	9.29280034267381	0.00343258807917253	-3.5725319573402405	1441
row112	745.5926278921272	3.1969129754988503	0.004092069642417271	-3.51310565384939	2881
row113	302.23251875620036	4.370994817087583	0.004092069642417271	-3.5126097264203	2315
row114	151.04779716159987	11.872232773025232	0.0042137519511149715	-3.4981399724073703	676
row115	174.08740496279592	11.517982648461466	0.0042137519511149715	-3.49801847420562	1002
row116	142.12273035551368	3.8034609123548218	0.00431031832457727	3.48824426562841	535
row117	316.24817137787306	4.315124863489827	0.00474979652383487	-3.45514099240987	2384
row118	814.6869326139753	3.2671478973107004	0.0048372028170979705	-3.44673264966777	2998
row119	781.5560995434957	3.2225692162120723	0.00577908811867022	-3.38448379622658	2934
row120	179.127837532445	4.375178398752974	0.00577908811867022	-3.38439977199974	1078
row121	219.14204296167347	8.414122199886636	0.00577908811867022	-3.38250112929142	3867
row122	811.60400390625	3.1664475966712717	0.00578579290214009	-3.3795124963255696	2990
row123	230.09579192614947	11.951036929785865	0.00637649209999582	-3.3458631048297995	1724
row124	744.5532271067302	3.195004986122018	0.007101727543672991	-3.30864083561826	2877
row125	815.6969108012186	3.3167827055011414	0.00759256877238015	-3.28444396761494	2999
row126	773.5876270162648	3.2031847475751585	0.008111179714170741	-3.2604051523953803	2925
row127	127.08659606144346	6.717903104634009	0.00814977833966786	-3.25628640105193	330
row128	283.1034067327326	7.638936587781288	0.00820676835605243	-3.25146074089006	2192
row129	701.5587664152448	3.4205349542944568	0.00832664573739405	-3.24203918908148	2842
row130	288.2168204171317	4.384022985095052	0.00832664573739405	-3.23981756763506	2234
row131	783.5721797688803	3.2044670684797745	0.00832664573739405	-3.2391683943506897	2937
row132	165.11223471792118	4.267475591169922	0.008701928724990371	-3.22225399037593	885
row133	218.13872538114845	8.41637103850833	0.00880157684934592	-3.2153682412141	1591
row134	151.06173039825867	9.799460908142995	0.00880157684934592	-3.2135858859585	678
row135	808.58344708067	3.1691686547228097	0.00942073294254135	-3.18876635682464	2985
row136	880.5899320660216	3.0012072328324013	0.00981924861642585	-3.1726385885400004	3083
row137	190.08622629502239	6.717570800151284	0.0098422491503461	-3.16943894444263	1229
row138	154.07240237611714	9.03697799012916	0.010017444997959	-3.1611815221722	4735
row139	151.0579272576098	9.807276094071767	0.0101426675721626	-3.15466225024736	677
row140	123.05528043445787	6.715846041707633	0.0104300475652984	-3.1429894478164	298
row141	180.15944360431868	3.7993752859691465	0.0104966980447083	3.138497987978	1089
row142	163.13287734985354	3.7994672006916432	0.0107563454036701	3.12799171024088	862
row143	164.136320013749	3.800138472932415	0.0109082433371871	3.1192642754399103	878
row144	518.3220455771998	4.006677905106587	0.0109082433371871	-3.1186319055695497	2716
row145	239.1641000711693	3.5122459269786077	0.0109824606890878	3.11404699896204	1829
row146	190.04985789248818	6.7110412271767625	0.0112124708603906	3.1047982296913497	1221
row147	275.1033547384697	11.891297595769975	0.0113645073821236	3.09798655108131	2114
row148	768.5890444402826	3.1956967501615114	0.0115788712227122	-3.08942561085094	2915
row149	499.34838518415177	3.821352176761092	0.0117516013672441	-3.0821725054379505	2703
row150	107.07027776617753	3.8081084991421936	0.0127330152926185	3.05280437596284	152
row151	234.13358319600425	3.7269341891864696	0.0127422688545058	-3.0503050955831097	6915
row152	172.07971515394237	11.896549184929139	0.0127800616934051	-3.0470609216155298	967
row153	203.05238235473632	12.05103861917583	0.0130828577909612	3.0351969498508704	1401
row154	544.3396243533573	3.713008301796713	0.0130828577909612	-3.03466143254096	2744
row155	120.06554317474364	9.577770676367102	0.0137249789255089	3.01612023805737	259
row156	130.065154281317	6.726810434132585	0.0139145788310169	-3.00923242185376	3317
row157	301.98991324684835	10.403313712017546	0.0144530796426349	-2.99403413871203	2303
row158	424.3419207556773	3.702544347380033	0.0160907256842369	-2.95475282667939	2620
row159	786.6569239298503	3.3011916889778767	0.0160907256842369	-2.95267596519908	2943
row160	524.3713559602436	3.70290365191268	0.0162682465385636	-2.94670313150837	2726
row161	133.06076973362974	12.100211214315117	0.0168488411662926	-2.93097265337314	424
