massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	101.07096943102384	15.310223684210525	1.02235123811989e-48	-164.84664545819402	200
row2	110.02706969411751	15.298422807017547	1.0201650782847801e-45	-132.570328516802	323
row3	832.5840807462995	3.424594736842105	3.13381799323033e-45	-126.885304391044	4183
row4	796.5833675986843	3.439614035087719	8.626199480041359e-45	-122.23858842953301	4131
row5	447.383544921875	3.3507447368421057	5.43793765897877e-44	-115.20671982716001	3726
row6	188.055390207391	8.910225438596491	1.7147463561299802e-43	-110.888497090152	1749
row7	176.03767073781867	8.3697	9.174728160370308e-41	-92.169043396281	1526
row8	461.39863747044615	3.3698789473684214	1.24782891805429e-40	-91.0077665528655	3744
row9	192.06893157958984	9.708328070175435	4.571219972665491e-40	-87.376407226264	1833
row10	321.24261983235675	3.476626851851852	4.83793803818867e-19	21.0399219048579	3302
row11	337.2372970581055	3.5930925925925927	9.68349249074359e-19	20.533358798068303	8001
row12	446.3708770751953	3.343214166666667	2.4821200606354e-18	-19.8889646767606	3724
row13	320.2297092013889	3.533666666666667	3.8092486828975094e-18	19.5767501760461	7926
row14	792.5892532348632	3.434285	6.0145270105815396e-18	-19.2551149133313	4126
row15	149.0267550150553	13.465448148148148	8.19376027754779e-18	19.0286734575021	6879
row16	279.0974078708225	7.669247222222222	4.0458358565587797e-17	18.0597332678349	7776
row17	173.1325997246636	3.5212990740740735	4.1272757531536495e-17	18.0138008253014	1472
row18	837.6184921264647	3.4191941666666663	4.46070431400444e-17	-17.9371219927903	4188
row19	140.0818451775445	7.049541666666666	5.42718505686991e-17	17.795560484158603	6794
row20	354.33669128417966	3.576343333333333	1.07794047642577e-16	-17.383478410305802	3442
row21	275.94993167453345	15.613569444444444	1.59944358747495e-16	-17.1394318289324	2976
row22	244.98788028293185	15.575470370370374	1.60369784837852e-16	-17.112533659342198	2659
row23	227.0637923346625	8.915779629629633	1.6282724955135102e-16	-17.034012820005902	2393
row24	192.00932015313046	14.924715740740744	1.6282724955135102e-16	-17.024701369453197	1827
row25	213.022270626492	15.343837962962963	1.6282724955135102e-16	-17.0149787576311	2161
row26	730.5376586914062	3.5025916666666665	1.6282724955135102e-16	-17.0131330037645	4042
row27	448.38667043050134	3.3503638888888885	1.7644124003466202e-16	-16.9490021432083	3730
