massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row38	115.07536487579344	5.901156111111113	8.649271378733759e-10	-8.48087572374421	715
row39	419.27644627889	5.583991666666668	8.87124991988524e-10	-8.46767900617125	3396
row40	311.1834243774414	5.701960833333334	1.3113418387878302e-09	-8.36075056053468	5143
row41	111.08044357299805	5.774306111111112	1.41182318478431e-09	-8.3265042894204	631
row42	99.04404341379801	5.671065277777778	1.41182318478431e-09	-8.325665376016518	371
row43	143.14305864061632	5.829219047619048	1.41182318478431e-09	-8.32323164319308	1238
row44	156.13835457043768	10.830964957264957	1.8178886548985396e-09	-8.25248136089605	1453
row45	129.09097035725912	5.898216388888887	2.07969823877341e-09	-8.2122248716563	952
row46	239.20041122436524	5.542230277777777	2.98933627326998e-09	-8.11364180222318	2470
row47	195.13803456624348	5.6012652777777765	3.4762359497777402e-09	-8.068124557373821	2019
row48	123.11681162516277	5.588086944444441	3.4762359497777402e-09	-8.06411633848234	842
row49	403.17500101725267	5.710289722222222	4.48484242041219e-09	-7.99365845104473	3362
row50	141.12734820048016	5.709882222222223	4.79932190999089e-09	-7.97115773421293	1182
row51	143.10668296813964	5.763595277777778	6.8769440904449e-09	-7.87385945847608	1234
row52	183.1016909281413	5.710536666666665	6.8769440904449e-09	-7.8691743734215995	1874
row53	123.0804333368937	5.697281666666666	7.14371209137633e-09	-7.8545809326763	841
row54	255.1589099884033	5.588825277777777	1.10006429156981e-08	-7.7362280978547	2640
row55	165.163826751709	5.551146388888888	1.10006429156981e-08	-7.734834165903571	1606
row56	157.1223436991374	5.6762700000000015	1.1897250356819699e-08	-7.70682721267684	1470
row57	541.4293464660644	8.871231250000003	1.1897250356819699e-08	-7.705704517186179	3653
row58	197.15370763142903	5.600457777777777	1.2393307533088799e-08	-7.68753085249829	2025
row59	137.13248151143392	5.550955833333334	1.2393307533088799e-08	-7.68646846245992	1116
row60	375.25031560262045	5.550759444444443	1.2412214538651799e-08	-7.68178791647406	3283
row61	141.09096857706706	5.7931975000000016	1.3393991756768899e-08	-7.6581318064247315	1179
row62	155.1066168467204	5.729378333333332	1.8700645708229e-08	-7.56878226521724	1435
row63	300.19857322563564	12.8978884180791	1.92763027907309e-08	-7.5569594736167005	3002
row64	397.29454750850283	5.5870086206896525	2.0482732731954597e-08	-7.5374451485078096	3350
row65	157.08599637349442	5.7811794444444455	2.0642748673321e-08	-7.53150165093019	1469
