SOURCE	TARGET	ENZYMES
C00099	C05100	3.5.1.6
C00099	C00222	2.6.1.19;2.6.1.55
C00099	C00026	2.6.1.55;4.1.1.15;2.6.1.19
C00099	C02642	3.5.1.6
C00936	C00078	
C00065	C00022	;4.3.1.19;2.6.1.51;4.3.1.17;2.1.2.1
C00065	C00740	3.1.3.3
C00065	C00037	;4.3.1.19;2.6.1.51;4.3.1.17;2.1.2.1
C00065	C00041	;4.3.1.19;2.6.1.51;4.3.1.17;2.1.2.1
C06010	C00022	2.2.1.6
C00022	C00133	1.4.3.3;5.1.1.1;1.4.3.19
C00022	C00149	1.1.1.38;1.1.1.39;1.1.1.40;4.1.1.3
C00022	C00186	1.1.2.3;1.1.1.27
C00022	C00037	;1.1.2.3;1.1.1.29;4.1.3.25;2.3.1.65;1.1.2.4;2.6.1.4;4.4.1.1;1.1.1.27;1.1.1.26;2.6.1.2;4.1.2.14;4.4.1.13;3.4.13.19;2.6.1.51;4.4.1.16;2.6.1.58;6.3.4.13;4.3.2.5;2.6.1.73;1.8.1.4;1.5.3.1;6.1.1.14;1.2.3.5;1.4.4.2;6.1.1.7;2.1.2.10;2.3.1.12;2.3.1.37;1.5.99.1;1.1.3.15;1.4.3.19;1.1.1.38;1.1.1.39;2.3.1.71;2.1.4.1;1.4.3.3;4.2.1.52;3.5.1.14;1.2.4.1;3.4.11.1;1.1.1.79;1.2.1.51;3.5.1.28;6.3.2.3;2.6.1.40;1.1.1.2;5.1.1.1;2.7.1.40;3.4.11.2;4.1.1.1;2.1.2.1;4.1.1.3;2.3.2.4;6.4.1.1;2.2.1.6;2.6.1.44;2.3.1.1;4.1.2.5;4.1.3.3;2.8.1.7;2.3.1.13;3.4.21.35;2.1.1.20;4.3.1.17;2.3.1.29;2.8.1.2;6.2.1.-;4.3.1.19;3.7.1.3;2.3.2.2;1.1.1.40;4.1.2.-
C00022	C00026	;1.8.1.4;2.3.1.1;2.6.1.2;2.6.1.40;2.3.2.2
C00022	C00041	;1.1.2.3;1.1.1.29;4.1.3.25;2.3.1.65;1.1.2.4;2.6.1.4;4.4.1.1;1.1.1.27;1.1.1.26;2.6.1.2;4.1.2.14;4.4.1.13;3.4.13.19;2.6.1.51;4.4.1.16;2.6.1.58;6.3.4.13;4.3.2.5;2.6.1.73;1.8.1.4;1.5.3.1;6.1.1.14;1.2.3.5;1.4.4.2;6.1.1.7;2.1.2.10;2.3.1.12;2.3.1.37;1.5.99.1;1.1.3.15;1.4.3.19;1.1.1.38;1.1.1.39;2.3.1.71;2.1.4.1;1.4.3.3;4.2.1.52;3.5.1.14;1.2.4.1;3.4.11.1;1.1.1.79;1.2.1.51;3.5.1.28;6.3.2.3;2.6.1.40;1.1.1.2;5.1.1.1;2.7.1.40;3.4.11.2;4.1.1.1;2.1.2.1;4.1.1.3;2.3.2.4;6.4.1.1;2.2.1.6;2.6.1.44;2.3.1.1;4.1.2.5;4.1.3.3;2.8.1.7;2.3.1.13;3.4.21.35;2.1.1.20;4.3.1.17;2.3.1.29;2.8.1.2;6.2.1.-;4.3.1.19;3.7.1.3;2.3.2.2;1.1.1.40;4.1.2.-
C00022	C00491	4.4.1.1
C00022	C00256	;1.1.2.4
C00022	C00900	2.2.1.6
C00133	C00041	1.4.3.3;5.1.1.1;1.4.3.19
C00525	C05642	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C00525	C00078	;1.13.11.52;1.14.16.4;3.5.1.9;4.1.1.28
C00152	C00064	3.5.1.38;6.3.5.4
C05100	C00906	3.5.2.2
C05100	C02642	3.5.1.6;3.5.2.2
C00906	C00106	1.3.1.2;2.4.2.4;3.5.2.2
C00906	C02642	3.5.2.2
C00106	C00299	2.4.2.3
C05642	C00078	;1.13.11.52;1.14.16.4;3.5.1.9;4.1.1.28
C04148	C00064	2.3.1.14
C00213	C00037	;1.5.99.1;2.1.1.20;1.5.3.1
C00222	C00026	2.6.1.19;2.6.1.55
C00222	C01013	1.1.1.59
C00037	C00073	;3.5.1.14;2.3.1.1;2.6.1.73
C00037	C00041	;1.1.2.3;1.1.1.29;4.1.3.25;2.3.1.65;1.1.2.4;2.6.1.4;4.4.1.1;1.1.1.27;1.1.1.26;2.6.1.2;4.1.2.14;4.4.1.13;3.4.13.19;2.6.1.51;4.4.1.16;2.6.1.58;6.3.4.13;4.3.2.5;2.6.1.73;1.8.1.4;1.5.3.1;6.1.1.14;1.2.3.5;1.4.4.2;6.1.1.7;2.1.2.10;2.3.1.12;2.3.1.37;1.5.99.1;1.1.3.15;1.4.3.19;1.1.1.38;1.1.1.39;2.3.1.71;2.1.4.1;1.4.3.3;4.2.1.52;3.5.1.14;1.2.4.1;3.4.11.1;1.1.1.79;1.2.1.51;3.5.1.28;6.3.2.3;2.6.1.40;1.1.1.2;5.1.1.1;2.7.1.40;3.4.11.2;4.1.1.1;2.1.2.1;4.1.1.3;2.3.2.4;6.4.1.1;2.2.1.6;2.6.1.44;2.3.1.1;4.1.2.5;4.1.3.3;2.8.1.7;2.3.1.13;3.4.21.35;2.1.1.20;4.3.1.17;2.3.1.29;2.8.1.2;6.2.1.-;4.3.1.19;3.7.1.3;2.3.2.2;1.1.1.40;4.1.2.-
C00026	C00073	;2.3.1.1;2.6.1.5
C00026	C00041	;1.8.1.4;2.3.1.1;2.6.1.2;2.6.1.40;2.3.2.2
C00073	C00078	;1.4.3.2
C00073	C00064	
