massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	207.036575571696	11.953885996154575	1.2729793638109802e-09	-8.54796531498176	993
row2	85.0295549359238	7.089136171196094	3.1169975784451505e-09	8.16192286728088	36
row3	101.06080840469956	6.695315684066153	3.13357927751194e-09	8.05060385095909	124
row4	201.03829824513406	12.104753686638453	3.13357927751194e-09	7.99242815962179	939
row5	870.5931767781575	3.2964705481121475	4.16936874680206e-09	-7.869004301360099	1863
row6	311.2232986976361	3.744296639815076	5.745111596251011e-09	-7.74698876553617	1480
row7	176.03891366427058	6.699944410455368	6.61828968458881e-09	-7.6752469240127805	758
row8	229.04440952169483	11.947140113005384	6.727993614475079e-09	-7.6388473881882595	1131
row9	145.06199636087788	11.956320331670485	2.4796865465748997e-08	-7.2702678934673	493
row10	295.22819400143317	3.334676529607444	2.4796865465748997e-08	7.26763931586359	1436
row11	130.05912583874118	4.358191310468098	8.33847272917894e-08	-6.917640224857121	351
row12	129.0558250181137	4.357289362231783	8.33847272917894e-08	-6.90987908004408	337
row13	887.5676534016928	3.133856471057226	8.33847272917894e-08	-6.90778894263626	1874
row14	91.0286634370878	8.998500258439933	8.86492799874059e-08	-6.874673794137009	68
row15	89.02446893545297	8.998044063510056	9.35191411380924e-08	-6.83226417053175	55
row16	90.02776024558328	8.994190611077709	9.35191411380924e-08	-6.81962946174451	62
row17	167.04388573056175	11.933265880071046	9.35191411380924e-08	-6.81402472508409	669
row18	146.06535969083268	11.940636026477806	1.18873431462978e-07	-6.741175236764059	509
row19	87.00879408821226	7.958979953681156	1.56699570308687e-07	-6.66002718347257	41
row20	843.5659657796224	3.3289414704885463	3.77884100256891e-07	-6.43031126340376	1842
row21	845.5816275174501	3.3316204671219074	6.17530310468478e-07	-6.29647909244707	1845
row22	378.2420462956504	6.70067838089666	7.504824096769571e-07	-6.2364307558677305	1608
row23	141.01707975743182	12.101939082735395	2.1221592035641202e-06	5.96530354556712	446
row24	476.2786557427768	3.8771729441251983	2.52496379731932e-06	-5.90541892590783	1713
row25	298.11476307530563	11.748792760115466	2.52496379731932e-06	5.90054098972121	1448
row26	116.07984864866579	4.378515253699503	4.84859956459598e-06	5.72378250986162	213
row27	437.32775691517617	3.3386646688717243	4.84859956459598e-06	-5.71581413163993	1676
row28	439.34347053810404	3.3271098535880186	5.21625036290752e-06	-5.687951608643759	1678
row29	376.22616739475984	4.340431215829212	7.24346878930233e-06	-5.59515535805747	1605
row30	115.07650504174171	4.377227642696315	7.3501363063845e-06	5.582731206732951	199
row31	124.00742894952947	12.242078833535063	1.7306030527489902e-05	-5.35348840591777	296
row32	862.5603083683894	3.1474404783449628	1.89636471598858e-05	-5.32146782076179	1856
row33	844.5775262081262	3.326558359354561	2.56275073764103e-05	-5.23488201415017	1843
row34	145.01437793058508	12.532780737923922	2.8147782121307104e-05	-5.20249625420196	484
row35	88.98809670782707	13.742913304279806	3.06906072558346e-05	-5.172187721555059	54
row36	368.16244375294644	3.3701919023317366	3.77292432105614e-05	-5.1104005811984905	1597
row37	263.6283178948737	4.144320746990906	3.81127122690506e-05	5.10049783436816	1325
row38	842.5626616976155	3.3360066390204994	4.02917103953128e-05	-5.078755098711	1840
row39	886.5598923412723	3.1411447007765414	4.29319078111086e-05	-5.05507543126037	1873
row40	835.5384187244232	3.149144063800737	4.85504429170683e-05	-5.01572032845815	1839
row41	378.24200302807253	4.307251621660317	6.0305162031243104e-05	-4.95137797071407	1607
row42	217.03004120335441	11.986841121049213	6.45790567164155e-05	4.926629111942651	1038
row43	239.01694592562592	12.545096171406062	0.00011452132338557099	-4.76596245807938	1192
